batch 0, moves 258, time 0.75, time per move 0.00, skipped 0, processed 5, avg_loss: 10.6400
batch 2, moves 385, time 26.62, time per move 0.07, skipped 5, processed 500, avg_loss: 8.4367
batch 4, moves 240, time 26.67, time per move 0.11, skipped 5, processed 1000, avg_loss: 6.7249
batch 6, moves 428, time 25.48, time per move 0.06, skipped 12, processed 1493, avg_loss: 6.5657
batch 8, moves 471, time 26.47, time per move 0.06, skipped 15, processed 1990, avg_loss: 6.4057
batch 10, moves 341, time 26.39, time per move 0.08, skipped 17, processed 2488, avg_loss: 6.1868
batch 12, moves 430, time 26.93, time per move 0.06, skipped 20, processed 2985, avg_loss: 6.0498
batch 14, moves 267, time 25.20, time per move 0.09, skipped 26, processed 3479, avg_loss: 5.9058
batch 16, moves 450, time 24.96, time per move 0.06, skipped 32, processed 3973, avg_loss: 5.7531
batch 18, moves 387, time 24.43, time per move 0.06, skipped 38, processed 4467, avg_loss: 5.5510
batch 20, moves 552, time 25.17, time per move 0.05, skipped 40, processed 4965, avg_loss: 5.3948
batch 22, moves 409, time 26.40, time per move 0.06, skipped 42, processed 5463, avg_loss: 5.2052
batch 24, moves 253, time 25.63, time per move 0.10, skipped 48, processed 5957, avg_loss: 5.1387
batch 26, moves 335, time 25.75, time per move 0.08, skipped 53, processed 6452, avg_loss: 4.9803
batch 28, moves 414, time 25.70, time per move 0.06, skipped 59, processed 6946, avg_loss: 4.8300
batch 30, moves 391, time 26.53, time per move 0.07, skipped 60, processed 7445, avg_loss: 4.6892
batch 32, moves 343, time 25.61, time per move 0.07, skipped 67, processed 7938, avg_loss: 4.5896
batch 34, moves 426, time 26.90, time per move 0.06, skipped 68, processed 8437, avg_loss: 4.4727
batch 36, moves 362, time 26.71, time per move 0.07, skipped 70, processed 8935, avg_loss: 4.4045
batch 38, moves 331, time 27.43, time per move 0.08, skipped 72, processed 9433, avg_loss: 4.2814
batch 40, moves 279, time 27.80, time per move 0.10, skipped 74, processed 9931, avg_loss: 4.1491
batch 42, moves 259, time 27.53, time per move 0.11, skipped 79, processed 10426, avg_loss: 4.1944
batch 44, moves 381, time 26.38, time per move 0.07, skipped 82, processed 10923, avg_loss: 4.0099
batch 46, moves 317, time 26.14, time per move 0.08, skipped 85, processed 11420, avg_loss: 3.9638
batch 48, moves 428, time 25.05, time per move 0.06, skipped 90, processed 11915, avg_loss: 3.9251
batch 50, moves 243, time 25.43, time per move 0.10, skipped 94, processed 12411, avg_loss: 3.8909
batch 52, moves 274, time 24.40, time per move 0.09, skipped 98, processed 12907, avg_loss: 3.8452
batch 54, moves 212, time 24.98, time per move 0.12, skipped 101, processed 13404, avg_loss: 3.7631
batch 56, moves 375, time 24.45, time per move 0.07, skipped 104, processed 13901, avg_loss: 3.7311
batch 58, moves 335, time 25.37, time per move 0.08, skipped 105, processed 14400, avg_loss: 3.7712
batch 60, moves 321, time 25.62, time per move 0.08, skipped 108, processed 14897, avg_loss: 3.6956
batch 62, moves 357, time 25.41, time per move 0.07, skipped 114, processed 15391, avg_loss: 3.7113
